City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
335,st. john's,47.5649,-52.7093,78.28,77,75,17.27,CA,1689599967
336,revda,56.801,59.9303,65.7,93,100,7.9,RU,1689600607
337,pundong,-7.9522,110.3486,73.83,86,41,9.08,ID,1689600608
338,severo-yeniseyskiy,60.3725,93.0408,60.51,53,0,5.19,RU,1689600359
339,twon-brass,4.3151,6.2418,83.32,72,100,10.45,NG,1689600609
340,wenchang,30.904,118.4887,77.59,95,10,3.33,CN,1689600610
341,malango,-2.9627,119.9001,69.6,78,100,2.62,ID,1689600611
342,camana,-16.6228,-72.7111,63.88,81,64,8.7,PE,1689600341
343,soto la marina,23.7667,-98.2167,85.12,61,24,7.25,MX,1689600612
344,sanctuary point,-35.1114,150.629,58.32,87,2,6.58,AU,1689600613
345,kalifornsky,60.4183,-151.29,55.74,98,100,11.5,US,1689600613
346,pedernales,18.0384,-71.744,86.36,63,62,2.62,DO,1689600614
347,hami,42.8,93.45,103.59,8,65,13.67,CN,1689599944
348,verkhnevilyuysk,63.4453,120.3167,55.2,92,100,6.29,RU,1689600615
349,nadi,-17.8,177.4167,73.4,78,40,5.75,FJ,1689600290
350,tynda,55.1667,124.7167,65.48,74,18,3.56,RU,1689600616
351,pires do rio,-17.2997,-48.2794,81.63,38,29,9.55,BR,1689600617
352,chilchota,19.85,-102.1333,65.39,61,14,2.82,MX,1689600617
353,sheridan,44.8333,-106.9173,69.31,77,0,0.0,US,1689600618
354,mar del plata,-38.0023,-57.5575,46.09,82,75,9.22,AR,1689600619
355,tamandare,-8.7597,-35.1047,80.08,70,19,9.44,BR,1689600620
356,sao vicente,-23.9631,-46.3919,75.27,51,75,2.3,BR,1689600326
357,ust-tsilma,65.441,52.1498,78.55,37,100,5.68,RU,1689600621
358,vega de alatorre,20.0333,-96.6333,83.1,65,42,3.51,MX,1689600622
359,mochudi,-24.4167,26.15,76.05,16,0,4.34,BW,1689600623
360,chonchi,-42.6128,-73.8092,30.11,88,60,0.36,CL,1689600143
